file	kept	input_total
surgery_clinical_trials_pubmed25n0345.xml	17	749
surgery_clinical_trials_pubmed25n0346.xml	19	908
surgery_clinical_trials_pubmed25n0347.xml	25	897
surgery_clinical_trials_pubmed25n0348.xml	33	867
surgery_clinical_trials_pubmed25n0349.xml	20	836
surgery_clinical_trials_pubmed25n0350.xml	16	821
surgery_clinical_trials_pubmed25n0351.xml	25	824
surgery_clinical_trials_pubmed25n0352.xml	20	870
surgery_clinical_trials_pubmed25n0353.xml	11	823
surgery_clinical_trials_pubmed25n0354.xml	16	725
surgery_clinical_trials_pubmed25n0355.xml	21	771
surgery_clinical_trials_pubmed25n0356.xml	20	752
surgery_clinical_trials_pubmed25n0357.xml	20	775
surgery_clinical_trials_pubmed25n0358.xml	29	751
surgery_clinical_trials_pubmed25n0359.xml	12	705
surgery_clinical_trials_pubmed25n0360.xml	18	740
surgery_clinical_trials_pubmed25n0361.xml	14	733
surgery_clinical_trials_pubmed25n0362.xml	17	795
surgery_clinical_trials_pubmed25n0363.xml	14	763
surgery_clinical_trials_pubmed25n0364.xml	18	699
surgery_clinical_trials_pubmed25n0365.xml	22	872
surgery_clinical_trials_pubmed25n0366.xml	21	685
surgery_clinical_trials_pubmed25n0367.xml	22	801
surgery_clinical_trials_pubmed25n0369.xml	14	824
surgery_clinical_trials_pubmed25n0370.xml	10	582
surgery_clinical_trials_pubmed25n0371.xml	20	773
surgery_clinical_trials_pubmed25n0372.xml	16	662
surgery_clinical_trials_pubmed25n0373.xml	20	754
surgery_clinical_trials_pubmed25n0374.xml	28	743
surgery_clinical_trials_pubmed25n0375.xml	17	668
surgery_clinical_trials_pubmed25n0377.xml	16	678
surgery_clinical_trials_pubmed25n0378.xml	19	553
surgery_clinical_trials_pubmed25n0379.xml	18	619
surgery_clinical_trials_pubmed25n0380.xml	16	717
surgery_clinical_trials_pubmed25n0381.xml	16	717
surgery_clinical_trials_pubmed25n0382.xml	13	542
surgery_clinical_trials_pubmed25n0383.xml	15	748
surgery_clinical_trials_pubmed25n0384.xml	7	167
